6,7,-1
17,18,-1
16,17,-1
15,16,-1
15,19,-1
14,15,-1
13,14,-1
12,13,-1
11,12,-1
25,26,-1
25,27,-1
25,28,-1
24,25,-1
23,24,-1
22,23,-1
21,22,-1
32,33,-1
37,38,-1
46,47,-1
45,46,-1
44,45,-1
44,48,-1
43,44,-1
42,43,-1
41,42,-1
40,41,-1
50,51,-1
49,50,-1
40,49,-1
39,40,-1
37,39,-1
53,54,-1
53,55,-1
52,53,-1
37,52,-1
36,37,-1
35,36,-1
34,35,-1
32,34,-1
57,36,-1
56,57,-1
32,56,-1
31,32,-1
30,31,-1
30,56,-1
59,60,-1
58,59,-1
30,58,-1
29,30,-1
21,29,-1
21,31,-1
21,56,-1
20,21,-1
61,12,-1
61,29,-1
61,31,-1
61,56,-1
20,61,-1
62,41,-1
62,29,-1
62,31,-1
62,56,-1
20,62,-1
11,20,-1
10,11,-1
9,10,-1
9,63,-1
8,9,-1
6,8,-1
6,64,-1
5,6,-1
4,5,-1
3,4,-1
2,3,-1
1,2,-1
